owner	path	coupling_score	rationale
core	src/admin.efct.test.js	6	portable application logic or core-facing test
core	src/admin.orch.1.js	0	portable application logic or core-facing test
core	src/auth-flow-state.pure.js	0	portable application logic or core-facing test
core	src/auth-route-approve.orch.3.js	4	portable application logic or core-facing test
core	src/auth-route-approve.test.js	6	portable application logic or core-facing test
core	src/auth-route-authorize.orch.3.js	4	portable application logic or core-facing test
core	src/auth-route-authorize.test.js	4	portable application logic or core-facing test
core	src/auth-route-common.orch.3.js	4	portable application logic or core-facing test
core	src/auth-route-deps.orch.2.js	4	portable application logic or core-facing test
core	src/auth-route-enroll.orch.3.js	4	portable application logic or core-facing test
core	src/auth-route-enroll.test.js	4	portable application logic or core-facing test
core	src/auth-route-handlers.orch.2.js	4	portable application logic or core-facing test
core	src/auth-route-handlers.test-helpers.js	0	portable application logic or core-facing test
core	src/auth-shared.pure.js	0	portable application logic or core-facing test
shell	src/auth-wiring-authorize.e2e.test.js	6	host/bootstrap/adapter code or host-shaped test
shell	src/auth-wiring-env.test-helpers.js	6	host/bootstrap/adapter code or host-shaped test
shell	src/auth-wiring-flow.test-helpers.js	6	host/bootstrap/adapter code or host-shaped test
shell	src/auth-wiring-mcp.e2e.test.js	7	host/bootstrap/adapter code or host-shaped test
shell	src/auth-wiring-oauth.e2e.test.js	6	host/bootstrap/adapter code or host-shaped test
shell	src/auth-wiring-steps.test-helpers.js	5	host/bootstrap/adapter code or host-shaped test
core	src/auth.orch.1.js	4	portable application logic or core-facing test
core	src/auth.orch.test.js	4	portable application logic or core-facing test
core	src/auth.test.js	6	portable application logic or core-facing test
core	src/config.pure.js	0	portable application logic or core-facing test
core	src/db/conflicts-efct.test.js	2	portable application logic or core-facing test
core	src/db/conflicts-ops-efct.test.js	2	portable application logic or core-facing test
core	src/db/conflicts.efct.js	3	portable application logic or core-facing test
core	src/db/conflicts.ops.efct.js	3	portable application logic or core-facing test
core	src/db/conflicts.pure.js	0	portable application logic or core-facing test
core	src/db/conflicts.test.js	2	portable application logic or core-facing test
core	src/db/entities-efct.test.js	2	portable application logic or core-facing test
core	src/db/entities-query.test.js	2	portable application logic or core-facing test
core	src/db/entities-read.efct.js	3	portable application logic or core-facing test
core	src/db/entities-write.efct.js	3	portable application logic or core-facing test
core	src/db/entities.ops.efct.js	3	portable application logic or core-facing test
core	src/db/entities.pure.js	0	portable application logic or core-facing test
core	src/db/entities.test.js	6	portable application logic or core-facing test
core	src/db/entries-autolink.efct.js	3	portable application logic or core-facing test
core	src/db/entries-autolink.type.js	0	portable application logic or core-facing test
core	src/db/entries-efct.test.js	2	portable application logic or core-facing test
core	src/db/entries-linking.test.js	2	portable application logic or core-facing test
core	src/db/entries-ops-pagination.test.js	2	portable application logic or core-facing test
core	src/db/entries.efct.js	3	portable application logic or core-facing test
core	src/db/entries.ops.efct.js	3	portable application logic or core-facing test
core	src/db/entries.pure.js	0	portable application logic or core-facing test
core	src/db/entries.test.js	6	portable application logic or core-facing test
core	src/db/history-efct.test.js	2	portable application logic or core-facing test
core	src/db/history-ops-efct.test.js	2	portable application logic or core-facing test
core	src/db/history-query.pure.js	0	portable application logic or core-facing test
core	src/db/history-undo-entry-triple.pure.js	0	portable application logic or core-facing test
core	src/db/history-undo-merge.pure.js	0	portable application logic or core-facing test
core	src/db/history-undo-shared.pure.js	0	portable application logic or core-facing test
core	src/db/history-undo.pure.js	0	portable application logic or core-facing test
core	src/db/history.efct.js	3	portable application logic or core-facing test
core	src/db/history.ops.efct.js	3	portable application logic or core-facing test
core	src/db/history.pure.js	0	portable application logic or core-facing test
core	src/db/history.test.js	6	portable application logic or core-facing test
core	src/db/migrations-chain.test.js	2	portable application logic or core-facing test
core	src/db/schema.efct.js	3	portable application logic or core-facing test
core	src/db/schema.test.js	2	portable application logic or core-facing test
core	src/db/search-acceptance.test.js	2	portable application logic or core-facing test
core	src/db/search-efct.test.js	2	portable application logic or core-facing test
core	src/db/search-ops-memory-weight.test.js	2	portable application logic or core-facing test
core	src/db/search.efct.js	3	portable application logic or core-facing test
core	src/db/search.ops.efct.js	3	portable application logic or core-facing test
core	src/db/search.pure.js	0	portable application logic or core-facing test
core	src/db/search.test.js	2	portable application logic or core-facing test
core	src/db/summary-efct.test.js	6	portable application logic or core-facing test
core	src/db/summary.efct.js	3	portable application logic or core-facing test
core	src/db/summary.pure.js	0	portable application logic or core-facing test
core	src/db/summary.test.js	6	portable application logic or core-facing test
core	src/db/triples-efct.test.js	2	portable application logic or core-facing test
core	src/db/triples-upsert-multi.test.js	2	portable application logic or core-facing test
core	src/db/triples-validity-normalization.test.js	2	portable application logic or core-facing test
core	src/db/triples.efct.js	3	portable application logic or core-facing test
core	src/db/triples.ops.efct.js	3	portable application logic or core-facing test
core	src/db/triples.pure.js	0	portable application logic or core-facing test
core	src/db/triples.test.js	6	portable application logic or core-facing test
core	src/db/undo-atomic-store.test.js	2	portable application logic or core-facing test
core	src/domain/auto-updates-link.pure.js	0	portable application logic or core-facing test
core	src/domain/auto-updates-link.test.js	0	portable application logic or core-facing test
core	src/domain/auto-updates-token-codec.efct.js	0	portable application logic or core-facing test
core	src/domain/auto-updates-token-codec.efct.test.js	0	portable application logic or core-facing test
core	src/domain/auto-updates-token.efct.js	0	portable application logic or core-facing test
core	src/domain/auto-updates-token.test.js	0	portable application logic or core-facing test
core	src/domain/conflict-ops-efct.test.js	0	portable application logic or core-facing test
core	src/domain/conflict.ops.efct.js	1	portable application logic or core-facing test
core	src/domain/conflict.pure.js	0	portable application logic or core-facing test
core	src/domain/conflict.test.js	0	portable application logic or core-facing test
core	src/domain/github-workflow-ops-efct.test.js	0	portable application logic or core-facing test
core	src/domain/github-workflow.ops.efct.js	1	portable application logic or core-facing test
core	src/domain/github-workflow.pure.js	0	portable application logic or core-facing test
core	src/domain/github-workflow.test.js	0	portable application logic or core-facing test
